result_scores_hnc
Model,Avg_Pos,Avg_Neg,Margin,Avg_Rand_Neg,threshold_1,threshold_1.1,threshold_1.2,threshold_1.5,threshold_2,threshold_3
CLIP,0.24706957,0.24489910,0.00217048,0.18168345,0.53929867,0.11608222,0.04594921,0.00000000,0.00000000,0.00000000
HNC_1_full_small_ref_epoch1,0.5444402821551211,0.5337438860135615,0.010696396141559594,0.00830558780580759,0.5199516324062878,0.18863361547763,0.13180169286577992,0.07255139056831923,0.037484885126964934,0.015719467956469165
HNC_1_full_small_ref_epoch2,0.5363564370188777,0.5233911539652039,0.012965283053673837,0.06930939108133316,0.5380894800483675,0.20556227327690446,0.14268440145102781,0.07980652962515115,0.049576783555018135,0.02781136638452237
HNC_1_full_small_ref_epoch3,0.5286533408758862,0.5146770465763189,0.013976294299567371,0.029860101640224457,0.5163240628778718,0.22370012091898428,0.1596130592503023,0.09552599758162031,0.05078597339782346,0.02539298669891173
HNC_1_full_small_ref_epoch4,0.5124911916010901,0.4986633741293449,0.013827817471745218,0.027131974697113037,0.5296251511487303,0.26118500604594924,0.17412333736396615,0.09915356711003627,0.0592503022974607,0.03385731559854897
HNC_1_full_small_ref_epoch5,0.5044422763722983,0.48802334625170335,0.016418930120594977,0.02958320640027523,0.5308343409915357,0.26360338573155984,0.17896009673518742,0.10399032648125756,0.05078597339782346,0.03143893591293833
HNC_1_full_small_ref_epoch6,0.4867316295619167,0.47167453166219026,0.015057097899726424,0.06066746264696121,0.5211608222490931,0.2877871825876663,0.21281741233373638,0.11124546553808948,0.06892382103990327,0.03869407496977025
HNC_1_full_small_ref_epoch7,0.47028156751012284,0.4531698619007632,0.01711170560935965,-0.007404790725558996,0.5151148730350665,0.3083434099153567,0.2370012091898428,0.12575574365175332,0.07255139056831923,0.0471584038694075
HNC_1_full_small_ref_epoch8,0.46592949033504244,0.45062789547976734,0.015301594855275102,-0.0038594144862145185,0.5090689238210399,0.29866989117291415,0.23337363966142685,0.1354292623941959,0.0773881499395405,0.036275695284159616
HNC_1_full_small_ref_epoch9,0.46914446195351023,0.4529007490197289,0.01624371293378135,-0.0025553321465849876,0.528415961305925,0.2974607013301088,0.23216444981862153,0.12333736396614269,0.0773881499395405,0.03869407496977025
HNC_1_full_small_ref_epoch10,0.45882020348360925,0.44317948803792123,0.015640715445688014,0.014126799069344997,0.5139056831922612,0.3059250302297461,0.23216444981862153,0.13905683192261184,0.07980652962515115,0.044740024183796856
HNC_1_full_small_ref_epoch11,0.4451006897415475,0.428004684586623,0.017096005154924487,0.05375400930643082,0.5126964933494559,0.32769044740024184,0.24546553808948005,0.1414752116082225,0.07376058041112454,0.044740024183796856
HNC_1_full_small_ref_epoch12,0.447190502678757,0.42449238150410956,0.022698121174647423,0.021227121353149414,0.5199516324062878,0.32769044740024184,0.24667472793228537,0.14993954050785974,0.09673518742442563,0.05562273276904474
HNC_KL_1_S_full_epoch1,0.5385947037204434,0.5271103327334864,0.011484370986956982,0.02933989092707634,0.528415961305925,0.17896009673518742,0.12696493349455865,0.07496977025392987,0.032648125755743655,0.013301088270858524
HNC_KL_1_S_full_epoch2,0.5263996654727294,0.5127149556539368,0.013684709818792662,0.009868906810879707,0.532043530834341,0.19951632406287786,0.14631197097944376,0.08101571946795647,0.05078597339782346,0.030229746070133012
