Model,Avg_Pos,Avg_Neg,Margin,Avg_Rand_Neg,threshold_1,threshold_1.1,threshold_1.2,threshold_1.5,threshold_2,threshold_3
HNC_L2_1_S_vision_epoch5,0.3966163482666020,0.38399974822998000,0.012616600036621100,0.022495383396744700,0.648,0.217,0.092,0.017,0.004,0.001
HNC_L2_1_S_vision_epoch6,0.38621508407592800,0.37582275390625,0.010392330169677800,0.01937546208500860,0.609,0.22,0.087,0.015,0.005,0.001
HNC_L2_1_S_vision_epoch7,0.3824384002685550,0.3715735778808590,0.010864822387695300,0.015743335708975800,0.625,0.226,0.093,0.023,0.008,0.002
HNC_L2_1_S_vision_epoch8,0.3805042114257810,0.369581844329834,0.010922367095947200,0.016749512404203400,0.622,0.232,0.1,0.021,0.006,0.002
HNC_L2_1_S_vision_epoch9,0.39584027099609400,0.3842748622894290,0.011565408706665100,0.013499111868441100,0.634,0.223,0.094,0.021,0.008,0.003
HNC_L2_1_S_vision_epoch10,0.38069595336914100,0.36863915729522700,0.012056796073913600,0.0073043787851929700,0.628,0.245,0.113,0.028,0.008,0.005
HNC_L2_1_S_vision_epoch11,0.37871162700653100,0.3663950366973880,0.01231659030914310,0.011267763562500500,0.634,0.238,0.116,0.028,0.009,0.004
HNC_L2_1_S_vision_epoch12,0.38099667358398400,0.3684499455690380,0.012546728014946000,0.007663708180189130,0.639,0.244,0.118,0.03,0.011,0.005
HNC_L2_1_S_vision_epoch13,0.37903442764282200,0.3657598600387570,0.013274567604064900,0.008933940902352330,0.643,0.248,0.123,0.033,0.014,0.004
HNC_L2_1_S_vision_epoch14,0.3750001332759860,0.36279070329666100,0.012209429979324300,0.003600870259106160,0.642,0.239,0.118,0.037,0.015,0.006
HNC_L2_1_S_vision_epoch15,0.3877298583984380,0.3747115631103520,0.013018295288085900,0.009689589031040670,0.637,0.244,0.128,0.035,0.012,0.005
HNC_L2_1_S_vision_epoch16,0.3819888515472410,0.3663628492355350,0.01562600231170650,-0.001587135368026790,0.657,0.271,0.139,0.033,0.012,0.003
HNC_L2_1_S_vision_epoch17,0.36602997398376500,0.35117397308349600,0.014856000900268600,-0.005179309751838450,0.648,0.274,0.145,0.043,0.018,0.003
HNC_L2_1_S_vision_epoch18,0.3719740219116210,0.3566258544921880,0.015348167419433600,-0.0018023555167019400,0.649,0.274,0.145,0.044,0.02,0.005
HNC_L2_1_S_vision_epoch19,0.3679581708908080,0.3525263614654540,0.015431809425354000,0.0009019916178658610,0.648,0.291,0.154,0.047,0.016,0.002
HNC_L2_1_S_vision_epoch20,0.36832246494293200,0.3539644310474400,0.014358033895492600,0.004111960995942350,0.642,0.272,0.142,0.044,0.013,0.005
HNC_L2_1_S_vision_epoch21,0.3588765258789060,0.34367522048950200,0.015201305389404300,-0.007767069153487680,0.646,0.298,0.15,0.052,0.023,0.005
HNC_L2_1_S_vision_epoch22,0.3723008737564090,0.3580921125411990,0.014208761215210000,0.00609495909884572,0.639,0.271,0.135,0.04,0.015,0.005
HNC_L2_1_S_vision_epoch23,0.3631253128051760,0.34800114154815700,0.015124171257019000,0.006213180720806120,0.644,0.285,0.148,0.049,0.023,0.009
HNC_L2_1_S_vision_epoch24,0.363105411529541,0.3493915786743160,0.013713832855224600,0.009335363283753400,0.64,0.275,0.138,0.043,0.018,0.009
HNC_L2_1_S_vision_epoch25,0.3579155938625340,0.3431311352849010,0.014784458577632900,0.0018840987468138300,0.642,0.281,0.152,0.052,0.023,0.01
HNC_L2_1_S_vision_epoch26,0.36946907234191900,0.3535700783133510,0.01589899402856830,-0.000632626935839653,0.638,0.291,0.155,0.043,0.02,0.01
HNC_L2_1_S_vision_epoch27,0.3634418144226070,0.3465441360473630,0.01689767837524410,-0.009137309156358240,0.651,0.306,0.159,0.049,0.021,0.008
HNC_L2_1_S_vision_epoch28,0.36629200744628900,0.35020616626739500,0.016085841178894,0.0053161755204200700,0.649,0.289,0.16,0.053,0.023,0.008
HNC_L2_1_S_vision_epoch29,0.3645308990478520,0.3480512161254880,0.016479682922363300,-0.0002254752180306240,0.656,0.298,0.165,0.054,0.023,0.007
HNC_L2_1_S_vision_epoch30,0.3652704010009770,0.3490412063598630,0.016229194641113300,0.0013566514244303100,0.659,0.289,0.155,0.047,0.019,0.009
HNC_L2_1_S_vision_epoch31,0.3645132064819340,0.34909404182434100,0.015419164657592700,0.005445515271276240,0.65,0.292,0.152,0.044,0.022,0.009
HNC_L2_1_S_vision_epoch32,0.3700543422698980,0.3540181932449340,0.016036149024963400,0.0024737250059843100,0.647,0.299,0.154,0.043,0.02,0.007
HNC_L2_1_S_vision_epoch33,0.34992203712463400,0.3322391408085820,0.017682896316051500,-0.006935747805982830,0.663,0.317,0.184,0.057,0.029,0.016
HNC_L2_1_S_vision_epoch34,0.3697597274780270,0.353667338848114,0.0160923886299133,0.012123331427574200,0.657,0.296,0.158,0.046,0.021,0.008
HNC_L2_1_S_vision_epoch35,0.364666316986084,0.34765019798278800,0.017016119003295900,0.0031793606467545000,0.657,0.3,0.168,0.049,0.022,0.012
HNC_L2_1_S_vision_epoch36,0.35464310693740800,0.3375049786567690,0.017138128280639700,-0.004941838793456550,0.651,0.31,0.176,0.059,0.03,0.012
HNC_L2_1_S_vision_epoch37,0.3617650289535520,0.34524858808517500,0.01651644086837770,0.00302454037591815,0.649,0.311,0.171,0.042,0.025,0.009
HNC_L2_1_S_vision_epoch38,0.35767580032348600,0.34113119888305700,0.016544601440429700,0.0028253793716430700,0.648,0.301,0.169,0.051,0.025,0.013
HNC_L2_1_S_vision_epoch39,0.3678183212280270,0.3517568244934080,0.016061496734619100,0.020176703110337300,0.64,0.3,0.156,0.042,0.017,0.009
HNC_L2_1_S_vision_epoch40,0.3619877433776860,0.3441570615768430,0.01783068180084220,0.00970865972340107,0.659,0.314,0.172,0.048,0.024,0.013
HNC_L2_1_S_vision_epoch41,0.3589563980102540,0.34356945991516100,0.015386938095092800,0.014659645967185500,0.647,0.305,0.157,0.048,0.024,0.013
HNC_L2_1_S_vision_epoch42,0.3580589485168460,0.3419884796142580,0.016070468902587900,0.008079721592366700,0.639,0.308,0.171,0.057,0.026,0.009
HNC_L2_1_S_vision_epoch43,0.3525307261943820,0.33560294342041000,0.016927782773971600,0.010693933814764000,0.649,0.309,0.169,0.053,0.024,0.01
HNC_L2_1_S_vision_epoch44,0.35483780670166000,0.33845399379730200,0.01638381290435790,0.00599556602537632,0.639,0.297,0.169,0.049,0.023,0.011
HNC_L2_1_S_vision_epoch45,0.34977059173584000,0.33418753802776300,0.0155830537080765,0.009200476109981540,0.634,0.295,0.165,0.05,0.026,0.014
HNC_L2_1_S_vision_epoch46,0.35739037322998000,0.3416356296539310,0.01575474357604980,0.017350174486637100,0.633,0.298,0.163,0.045,0.027,0.012
HNC_L2_1_S_vision_epoch47,0.34234153842926000,0.3253595247268680,0.01698201370239260,0.0010164936538785700,0.642,0.312,0.18,0.064,0.031,0.015
HNC_L2_1_S_vision_epoch48,0.35543327713012700,0.33891337203979500,0.01651990509033200,0.0026350892148912000,0.648,0.305,0.172,0.049,0.023,0.012
